pkg_name,sha256,vercode,with_iot_lib
com.floramobileapps.samirremote,29C60A9CF2526B2B1E1532DB46443538868DBB3563194BD4A391AB9DFA23C79D,31,1
com.fexcon.polysmart,B0373BE806FABD583EC2CAFBE1CABFB53E23226E7C72E554C068DA385AE41A42,48,1
com.timeteccloud.timetecsecurity,F5FBDB8501526CC14ABBF229BE0869823343A7352A792244303E77B110CA007D,135,1
cz.master.lois,5BFDB68A72E1D627B698074623B8704664AB07898F1D00262EE778A1947C8C1A,1914862375,0
com.vutiliti.pulsemobile,EE4A31302C7B6975B31AEAD839C993FE4E8324D70EA556E1BD3968010101FCB4,17301,0
com.urbandroid.inline,1F3037416AF32018201BDE4DCBC75CB0C03114B38322C679FAA7885DD566A51B,142,0
com.cam.ddpai_overseas,CC959176209C019CFA154BCC4BFCB08A94BABAF7EFFBC17BDF72BA421D3302D9,905043765,1
com.aukey.wearbuds,D503635720709B653CE77D756AA51A95DA651FC4670D6B72B9DC4BCE21F978DF,249,1
com.foreo.foreoapp,E10762703EB7766442FF2D2F7369187D3C8DEA1A56C0296E33B73311FA980240,343,1
in.universalremote.www.universaltvremote,71EDE525720AE17B91CB42ADA304CFF31737823AC9D15DC792F83231657839A3,13,0
fi.combicool.combicontrol,5A55655DA22028156E524E042A03AFA17F8CCF35207F7E4D888BF04F1EBCA758,31,0
com.naimaudio.naim.std,F2A79CF0E57B8C16378BDA360AD4F60541C3FC1EDEC3D55C46D7D8BCF40EB6DA,5790,1
com.earin.earin,21817DD9B3222E599F58F753B2F665015312F291A7CFA40C49E1AE8DC699E1C1,100019,0
cn.devict.fish,003DEB2456BDAEAF79DC83F430E81B4FDC8AFF854159197BF01890B362576C3C,63,1
com.App.TranTech,003F27A44D4562055352861B286D26A75BB333C99E1AC13999C627C55C142A10,3,0
com.holobuilder.jobwalk,52FBAC3ED094815550D3B5BC9BB2FB337A7A0923B77815B7C669BEF325D5018B,1960,1
com.circlemedia.circlehome,AA0AAD51833909360F97617AF4FD5018B5A57B3428530B9F2A969C28DA386E7C,112,0
com.oplayer.orunningsw,1FDDF37377AD4E03127ABD232FDBF63B098AF8E749DEBCC323B507A3B5BAB4CC,21032906,1
net.turnkeytrading.prometheus.tracker,C151C87D3855C3528CF7D60353BFCD81244CA68F493B35E0CAEDD1830D85E543,14,0
com.kiiot.smartatiot,0040B0A6C76CDA7A81E4F2D37C3E0528C7266D24FEC9E25E415B70BB1365B339,23,1
eu.aton.mobiscan.weldinair,560C968A4AE2C9FBFC878A9F17B5860E2F70812FCD446997CE00FBF2DC5BBA29,30,0
jp.bagworm.ve.icsusb,D583794AEA9D5FAA4B97612168886B69B21FA8BA140AD2DF42246A5793E3D575,13,0
iSellerRetail.Android.v2,787B729E3D1BF6B822E04D6985F999DF20D0724613A3F8A2516D840D942940DC,342,0
com.westerlydesigners.irremotetestinfraredraysdetectors,0805F00065C754EA003C909B4A1B763BE7BFAF5085DFA75849E6DB97DD34C9CC,3,0
com.ryosoftware.calendareventsnotifier,D6FD1F4D868CFBBF92DBCDC2446200EC6E8CE78758F30CA06BC4A3544E065383,376,0
com.koushikdutta.backup,8D83E52DB2E1D539492B713FC7122339CEBA6CC86BDEA5D7B35F60062E9DA942,1551925477,0
com.xforce.dvking4k.xdvpro,00439833AA9A57982C4E2B35E35EC4F3968CC9FA386377BFBB34353BE97FCC46,52,1
com.heer,91206E60F6B346C72B0A47E04B849F4BCA3DF4FDC5F908AE9ABEB97B96DBAE7E,12,0
com.wakeup.smartband,7169A86D93B34B337832A1F4505F352062359295613229A072C9BD528BEF4AFD,117,1
com.vengit.sbrick,00446EBABEF6F2C89E69635608A62E13E7653EFC61DBCA17AE28427F20ACE24E,1006,0
com.visicommedia.manycam,0044AEF36B755D51D01882A1F9C0C81841AC2FEFADA8453E82C72968B2FC44EF,11061,0
com.merogadi.merogadi,00457E71A36168851842509454B7F4D8A49116ECD6E1A265BD2E8150AD301F0F,1,0
jp.gr.java_conf.siranet.sky,9096050648F3AA7B8BEF37F8702D6B0641070EC502448D51816CD82D5045BD30,106,0
de.stefanpledl.localcast,9ECCD8C82B7152E51489252F37E20015D1C2DF7E84C52D842188C89A3A991813,2501,1
